ID	Barcode	Title	Authors	Condition	Section	Location	On Hand	Price	Cost	Cash	Credit	First In	Last In	Last Sold	User
"0307943550"	"9921996088"	"The Prince of Risk"	"Reich, Christopher; (Narrator) Paul Michael"	"New"	"AUDIOBOOKS"	" "	"2"	"$22.50"	"$0.25"	"$0.00"	"$0.00"	"11-14-2013"	"01-18-2014"	"01-01-0001"	"Unknown"
"1478924543"	"9922093294"	"Countdown: Our Last, Best Hope for a Future on Earth?"	"Weisman, Alan; (Narrator) Adam Grupper"	"New"	"AUDIOBOOKS"	" "	"2"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"11-23-2013"	"07-04-2014"	"01-01-0001"	"Unknown"
"1482933268"	"992209326X"	"Relic (Books of Eva, Book 1)"	"Terrell, Heather; (Narrator) Angela Brazil"	"New"	"AUDIOBOOKS"	" "	"1"	"$12.45"	"$2.49"	"$2.49"	"$0.00"	"11-23-2013"	"11-23-2013"	"01-01-0001"	"Unknown"
"0804122946"	"9922167603"	"Teardrop (Teardrop Trilogy)"	"Kate, Lauren; (Narrator) Erin Spencer"	"New"	"AUDIOBOOKS"	" "	"2"	"$22.00"	"$0.25"	"$0.00"	"$0.00"	"12-03-2013"	"03-01-2014"	"01-01-0001"	"Unknown"
"1442367024"	"9922169290"	"American Heroes: On the Homefront"	"North, Oliver; (Narrator) Peyton Tochterman"	"New"	"AUDIOBOOKS"	" "	"2"	"$15.00"	"$3.00"	"$3.00"	"$0.00"	"12-03-2013"	"12-16-2013"	"01-01-0001"	"Unknown"
"1427232881"	"9922196581"	"The New Countess (Habits of the House)"	"Weldon, Fay; (Narrator) Katherine Kellgren"	"New"	"AUDIOBOOKS"	" "	"2"	"$20.00"	"$0.25"	"$0.00"	"$0.00"	"12-05-2013"	"12-11-2013"	"01-01-0001"	"Unknown"
"030791741X"	"9922196549"	"The Light in the Ruins"	"Bohjalian, Chris; (Narrator) Cassandra Campbell; (Narrator) Mark Bramhall"	"New"	"AUDIOBOOKS"	" "	"1"	"$17.50"	"$0.25"	"$0.00"	"$0.00"	"12-05-2013"	"03-14-2014"	"05-04-2014"	"Unknown"
"1622310160"	"9922196409"	"You Are Not Forgotten: The Story of a Lost World War II Pilot and a Twenty-First-Century Soldier's Mission to Bring Him Home"	"Bender, Bryan; (Narrator) Johnny Heller"	"New"	"AUDIOBOOKS"	" "	"2"	"$18.50"	"$3.70"	"$3.70"	"$0.00"	"12-05-2013"	"12-11-2013"	"01-01-0001"	"Unknown"
"1611762197"	"9922260883"	"Eminent Hipsters"	"Fagen, Donald"	"New"	"AUDIOBOOKS"	" "	"1"	"$14.95"	"$0.00"	"$0.00"	"$0.00"	"12-11-2013"	"07-03-2014"	"03-05-2014"	"Unknown"
"0804164045"	"9922305542"	"Financially Fearless: The LearnVest Program for Taking Control of Your Money"	"Von Tobel, Alexa; (Narrator) Nancy Linari"	"New"	"AUDIOBOOKS"	" "	"1"	"$17.50"	"$3.50"	"$3.50"	"$0.00"	"12-16-2013"	"02-27-2014"	"06-28-2014"	"Unknown"
"0788789848"	"9922305453"	"The Return of the King"	"Tolkien, J.R.R.; (Narrator) Rob Inglis"	"New"	"AUDIOBOOKS"	" "	"1"	"$24.99"	"$0.25"	"$0.00"	"$0.00"	"12-16-2013"	"12-16-2013"	"12-22-2013"	"Unknown"
