ID	Barcode	Title	Authors	Publisher	Pub Date	Binding	Condition	Section	Location	Item Type Id	On Hand	Price	Cost	Cash	Credit	First In	Last In	Last Sold	Meta Tags	Keywords	User
"1581805535"	"9920995789"	"Watercolor Success! 52 Essential Lessons for Creating Great Paintings"	"Long, Chuck"	"NORTH LIGHT BOOKS"	"May 2005"	"Oversized Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"08-02-2013"	"09-16-2014"	"12-13-2013"	""	""	"Unknown"
"1560107367"	"9921012215"	"Watercolor: Project Book for Beginners"	"Hansen, Joan, Linscott, Caroline, F., William Powell"	"Walter Foster Publishing"	"January 2003"	"Oversized Paper Back"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$7.50"	"$0.25"	"$0.00"	"$0.00"	"08-05-2013"	"08-05-2013"	"01-01-0001"	""	""	"Unknown"
"192690530X"	"992174965X"	"Watercolor: The Easy Way"	"Berrill, Philip"	"SpiceBox"	"January 2013"	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$7.50"	"$0.25"	"$0.00"	"$0.00"	"10-20-2013"	"10-20-2013"	"01-01-0001"	""	""	"Unknown"
"0823056813"	"9921780514"	"Watercolor: The Wet Technique, How to Master and Control Wet-In-Wet"	"Barbour, Arthur J."	"WATSON-GUPTILL PUBLICATIONS"	"December 1983"	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"10-23-2013"	"11-18-2014"	"04-06-2014"	""	""	"Unknown"
"0004133471"	"9921817604"	"Watercolour Pencils: Everything You Need to Know to Get Started"	"Martin, Judy"	"HarperCollins UK"	"June 1998"	"PaperBack"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$8.50"	"$0.25"	"$0.00"	"$0.00"	"10-26-2013"	"10-26-2013"	"01-01-0001"	""	""	"Unknown"
"0823004961"	"9921876929"	"The Big Book of Watercolor Painting: The History, the Studio, the Materials, the Techniques, the Subjects, the Theory, and the Practice of Watercolor Painting"	"Parramon, Jose Maria"	"WATSON-GUPTILL PUBLICATIONS"	"December 1984"	"Oversized Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"2"	"$10.00"	"$0.00"	"$0.00"	"$0.00"	"11-01-2013"	"05-14-2014"	"04-11-2014"	""	""	"Unknown"
"0823056570"	"9922016001"	"Watercolor Made Easy: Techniques for Simplifying The Painting Process"	"Walsh, Janet"	"WATSON-GUPTILL PUBLICATIONS"	"September 1994"	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"2"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"11-15-2013"	"10-08-2014"	"07-26-2014"	""	""	"Unknown"
"9110966579"	"992202988X"	"A Complete Guidance to Flower-and-Bird Painting"	"Heng, Choy Kung; Liang Yin-Boone"	"Wan Li Book Company"	""	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$12.50"	"$0.25"	"$0.00"	"$0.00"	"11-17-2013"	"11-17-2013"	"01-01-0001"	""	""	"Unknown"
"0823018202"	"9922230488"	"First Impressions: Sketching Nature In Watercolor"	"Ward, Edward Norton"	"WATSON-GUPTILL PUBLICATIONS"	"April 1990"	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$9.00"	"$0.00"	"$0.00"	"$0.00"	"12-09-2013"	"10-08-2014"	"12-22-2013"	""	""	"Unknown"
"0823029077"	"9922762064"	"Dong Kingman's Watercolors"	"Kingman, Dong"	"WATSON-GUPTILL PUBLICATIONS"	"January 1980"	"Oversized Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"2"	"$10.00"	"$0.00"	"$0.00"	"$0.00"	"02-03-2014"	"07-28-2014"	"06-29-2014"	""	""	"Unknown"
"0823025667"	"9923115755"	"Joy of Watercolor"	"Millard, David"	"WATSON-GUPTILL PUBLICATIONS"	"December 1991"	"PaperBack"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$5.00"	"$0.25"	"$0.00"	"$0.00"	"03-10-2014"	"03-10-2014"	"01-01-0001"	""	""	"Unknown"
"0823056821"	"9923582302"	"Watercolor Workshop"	"Wood, Robert"	"WATSON-GUPTILL PUBLICATIONS"	"January 1974"	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$12.50"	"$0.00"	"$0.00"	"$0.00"	"04-25-2014"	"04-25-2014"	"01-01-0001"	""	""	"Unknown"
"0004125193"	"9923597997"	"Chinese Brush Painting: Complete Course in Traditional and Modern Techniques"	"Evans, Jane"	"COLLINS"	"January 1989"	"PaperBack"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$7.50"	"$0.00"	"$0.00"	"$0.00"	"04-28-2014"	"04-28-2014"	"01-01-0001"	""	""	"Unknown"
"0894718932"	"9923747840"	"The Encyclopedia of Water Color Techniques"	"Harrison, Hazel"	"Running Pr"	"September 1990"	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$7.50"	"$0.00"	"$0.00"	"$0.00"	"05-14-2014"	"11-11-2014"	"05-24-2014"	""	""	"Unknown"
"0715311077"	"9923748049"	"Watercolors In a Weekend: Pick Up a Brush and Paint Your First Picture This Weekend"	"Harrison, Hazel"	"DAVID AND CHARLES"	"September 2000"	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$10.00"	"$0.00"	"$0.00"	"$0.00"	"05-14-2014"	"05-14-2014"	"01-01-0001"	""	""	"Unknown"
"0823007448"	"9923748057"	"Color in Watercolor (The Artist's painting library)"	"Blake, Wendon; Ferdinand Petrie"	"Watson-Guptill Pubns"	"May 1982"	"PaperBack"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$6.00"	"$0.00"	"$0.00"	"$0.00"	"05-14-2014"	"11-14-2014"	"06-13-2014"	""	""	"Unknown"
"9111160446"	"9924587820"	"Searching for the Artist Within"	"Holman, Karlyn"	"Bayfield Street Publishing"	"2002"	"Oversized Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$25.00"	"$3.50"	"$3.50"	"$0.00"	"08-11-2014"	"08-11-2014"	"01-01-0001"	""	""	"Unknown"
"1600610943"	"9924586751"	"Watercolor Essentials: Hands-on Techniques for Exploring Watercolor In Motion"	"O'Connor, Birgit"	"NORTH LIGHT BOOKS"	"March 2009"	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$18.00"	"$0.00"	"$0.00"	"$0.00"	"08-11-2014"	"08-11-2014"	"01-01-0001"	""	""	"Unknown"
"1581805861"	"9924658698"	"Acrylics: The Watercolor Alternative"	"Harrington, Charles"	"NORTH LIGHT BOOKS"	"July 2005"	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$12.50"	"$0.00"	"$0.00"	"$0.00"	"08-18-2014"	"08-18-2014"	"01-01-0001"	""	""	"Unknown"
"0715301950"	"9924863178"	"Big Brush In Watercolor"	"Ranson, Ron"	"David &amp; Charles"	"January 1989"	"PaperBack"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$10.50"	"$0.00"	"$0.00"	"$0.00"	"09-07-2014"	"11-03-2014"	"10-03-2014"	""	""	"Unknown"
